Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,Medicine,Dosage_Info_Medicine,Duration_Medicine,Notes_Medicine,Diet_For_Recovery,Dosage_Info_Diet,Duration_Diet,Notes_Diet,Vaccination_Name,Age_To_Give,Type,Duration_Vaccine,Notes_Vaccine
Dog,Border Collie,3,Female,17,Coughing,Labored Breathing,Fever,Nasal Discharge,8 days,Yes,No,No,Yes,No,Yes,No,Yes,Yes,39.4°C,129,Bordetella Infection,"Doxycycline, Cough suppressants",5-10 mg/kg daily,7-14 days,Rest and isolation from other dogs,Regular diet with added warm broth,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Bordetella Vaccine,6-8 weeks,Non-core,Annual or biannual,"Recommended for dogs in kennels, daycares, or frequent social settings"
Cat,Devon Rex,6,Male,4.2,Vomiting,Appetite Loss,Lethargy,Weight Loss,9 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.9°C,146,Inflammatory Bowel Disease,"Prednisolone, Metronidazole",1-2 mg/kg daily,Long-term management,Dietary management is essential,Hypoallergenic or novel protein diet,"Small, frequent meals",2-3 weeks,Identify and eliminate food triggers,No vaccine available,N/A,N/A,N/A,Management through diet and medication
Horse,Standardbred,7,Male,540,Lameness,Swollen Joints,Lethargy,Weight Loss,6 days,No,No,No,Yes,No,Yes,Yes,No,No,39.6°C,76,Degenerative Joint Disease,Appropriate medication for equine Degenerative Joint Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Weight management diet with joint supplements,Controlled portions,Long-term management,Omega-3 fatty acids and glucosamine/chondroitin supplements,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Management through medication and exercise
Cow,Red Angus,5,Female,620,Fever,Diarrhea,Lethargy,Appetite Loss,4 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,39.8°C,83,Bovine Leukemia Virus,Appropriate medication for bovine Bovine Leukemia Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Prevention through testing and management
Dog,Chihuahua,3,Male,2.5,Sneezing,Eye Discharge,Labored Breathing,Lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.5°C,131,Allergic Rhinitis,Appropriate antibiotics and supportive medication for Allergic Rhinitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Hypoallergenic diet,Normal feeding schedule,2-3 weeks,Identify and eliminate food allergens,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Management through allergen avoidance and medication
Cat,Sphynx,5,Female,3,Vomiting,Appetite Loss,Diarrhea,Weight Loss,6 days,Yes,Yes,No,No,Yes,No,Yes,No,No,38.7°C,143,Gastroenteritis,"Metronidazole, Fluids",15 mg/kg twice daily,3–5 days,Give probiotics too,"Bland diet (rice, boiled meat), probiotics",2–3 times daily,5–7 days,Hydration is critical,Not applicable,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Preventive hygiene only
Horse,Shire,10,Female,680,Lethargy,Fever,Appetite Loss,Weight Loss,10 days,No,No,Yes,Yes,No,Yes,No,No,No,39.9°C,74,Equine Leptospirosis,Appropriate medication for equine Equine Leptospirosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality hay, bran mash, electrolytes",Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Lepto EQ Innovator,"6 months, with booster 4-6 weeks later",Non-core,Annual,Recommended in areas with high prevalence
Cow,Guernsey,4,Male,590,Appetite Loss,Lethargy,Diarrhea,Dehydration,5 days,Yes,No,No,Yes,No,No,Yes,No,No,39.3°C,84,Bovine Coccidiosis,Appropriate medication for bovine Bovine Coccidiosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Electrolyte solution, high-quality forage","Small, frequent meals",2-3 weeks,Ensure adequate hydration,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Prevention through management and medication
Dog,Dachshund,7,Female,8,Vomiting,Diarrhea,Weight Loss,Appetite Loss,3 days,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,39.2°C,120,Gastroenteritis,"Metronidazole, Fluids",15 mg/kg twice daily,3–5 days,Give probiotics too,"Bland diet (rice, boiled meat), probiotics",2–3 times daily,5–7 days,Hydration is critical,Not applicable,N/A,N/A,N/A,Preventive hygiene only
Cat,Maine Coon,9,Male,6.5,Lethargy,Appetite Loss,Weight Loss,Dehydration,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,39.0°C,140,Feline Renal Disease,Appropriate antibiotics and supportive medication for Feline Renal Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Low-phosphorus, moderate protein diet","Small, frequent meals",2-3 weeks,Ensure adequate water intake,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Management through diet and medication
Horse,Thoroughbred,14,Male,520,Coughing,Labored Breathing,Fever,Weight Loss,12 days,No,Yes,Yes,No,Yes,No,No,Yes,No,39.7°C,72,Equine Influenza,"NSAIDs, Bronchodilators",As directed by veterinarian,7-10 days,Rest is essential for recovery,"High-quality hay, bran mash, electrolytes","Small, frequent meals",1-2 weeks,Ensure adequate hydration,Equine Influenza Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6-12 months,"Essential for all horses, especially those in contact with other horses"
Cow,Jersey,6,Female,600,Fever,Nasal Discharge,Decreased Milk Yield,Lethargy,5 days,Yes,No,No,Yes,No,Yes,No,No,No,39.4°C,86,Bovine Respiratory Syncytial Virus,Appropriate medication for bovine Bovine Respiratory Syncytial Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRSV Vaccine,"2-4 months, with booster 2-4 weeks later",Core,Annual,Often included in respiratory disease complex vaccines
Dog,Labrador Retriever,11,Male,35,Lethargy,Loss of Appetite,Fever,Vomiting,7 days,Yes,No,No,Yes,No,Yes,No,Yes,No,39.3°C,118,Canine Distemper,"Antibiotics, Anticonvulsants, Supportive care",As directed by veterinarian,2-4 weeks,Treat secondary infections and symptoms,"High-calorie, easily digestible diet","Small, frequent meals",2-3 weeks,May need assisted feeding if appetite is poor,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including distemper"
Cat,Persian,8,Female,5,Coughing,Nasal Discharge,Eye Discharge,Loss of Appetite,4 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.9°C,147,Feline Viral Rhinotracheitis,Appropriate antibiotics and supportive medication for Feline Viral Rhinotracheitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Warm soft food, high-calorie paste",2-3 times daily,1-2 weeks,L-lysine supplements may be beneficial,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including rhinotracheitis
Dog,German Shepherd,6,Female,30,Coughing,Labored Breathing,Lethargy,Loss of Appetite,6 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.4°C,125,Kennel Cough,"Doxycycline, Cough suppressants",5-10 mg/kg daily,7-10 days,Rest and isolation from other dogs,Regular diet with added warm broth,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Bordetella Vaccine,6-8 weeks,Non-core,Annual or biannual,"Recommended for dogs in kennels, daycares, or frequent social settings"
Cat,Scottish Fold,4,Male,4.8,Sneezing,Eye Discharge,Appetite Loss,Lethargy,5 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.7°C,137,Feline Herpesvirus,"L-lysine, Famciclovir",500 mg twice daily,7-14 days,Supportive care for symptoms,"Highly palatable, aromatic food","Small, frequent meals",2-3 weeks,L-lysine supplements may be beneficial,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including herpesvirus
Horse,Appaloosa,10,Female,510,Lameness,Fever,Swollen Joints,Reduced Appetite,9 days,No,No,Yes,Yes,No,Yes,No,No,No,39.8°C,74,Equine Laminitis,Appropriate medication for equine Equine Laminitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Low-sugar, low-starch diet","Small, frequent meals",2-3 weeks,"No grain, limited pasture access",No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Management through diet and hoof care
Cow,Holstein,7,Male,590,Coughing,Nasal Discharge,Labored Breathing,Lethargy,4 days,No,No,No,Yes,Yes,No,Yes,No,No,39.9°C,80,Bovine Pneumonia,Appropriate medication for bovine Bovine Pneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality forage, vitamin supplements",Normal feeding schedule,2-3 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Dog,Beagle,5,Male,10,Vomiting,Diarrhea,Loss of Appetite,Fever,3 days,Yes,Yes,No,No,No,Yes,No,Yes,No,39.2°C,132,Gastroenteritis,"Metronidazole, Fluids",15 mg/kg twice daily,3–5 days,Give probiotics too,"Bland diet (rice, boiled meat), probiotics",2–3 times daily,5–7 days,Hydration is critical,Not applicable,N/A,N/A,N/A,Preventive hygiene only
Cat,Bengal,3,Female,4.2,Lethargy,Vomiting,Diarrhea,Dehydration,6 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.1°C,145,Feline Panleukopenia,Appropriate antibiotics and supportive medication for Feline Panleukopenia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Arabian,13,Male,490,Fever,Nasal Discharge,Labored Breathing,Lethargy,8 days,No,No,No,Yes,Yes,No,No,Yes,No,39.6°C,78,Equine Influenza,"NSAIDs, Bronchodilators",As directed by veterinarian,7-10 days,Rest is essential for recovery,"High-quality hay, bran mash, electrolytes","Small, frequent meals",1-2 weeks,Ensure adequate hydration,Equine Influenza Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6-12 months,"Essential for all horses, especially those in contact with other horses"
Cow,Simmental,8,Female,630,Loss of Appetite,Weight Loss,Lethargy,Reduced Milk Production,7 days,No,Yes,No,No,Yes,Yes,Yes,No,No,39.5°C,83,Johne's Disease,No effective treatment,Supportive care only,Ongoing management,Focus on preventing spread to other animals,"High-quality, easily digestible feed","Small, frequent meals",2-3 weeks,Vitamin and mineral supplements,Silirum Vaccine,Under 35 days of age,Non-core,One-time,"Limited availability, used in high-risk herds"
Dog,Rottweiler,7,Female,35,Vomiting,Diarrhea,Loss of Appetite,Dehydration,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0°C,127,Parvovirus,"Parvaid, Electrolytes, Antibiotics",5 ml twice daily,5–7 days,"Supportive care, hydration","Boiled chicken, rice, electrolyte water",3 times daily,1 week,"Small portions, frequently",Canine Parvo Vaccine,6–8 weeks,Core,Annual booster,Essential for puppies
Cat,Siberian,2,Male,5.5,Coughing,Sneezing,Nasal Discharge,Eye Discharge,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,38.6°C,144,Feline Calicivirus,"Antibiotics, Pain medication",As directed by veterinarian,7-14 days,Supportive care for oral ulcers,"Soft, highly palatable food","Small, frequent meals",2-3 weeks,May need assisted feeding if mouth ulcers present,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including calicivirus
Horse,American Quarter,14,Female,520,Swollen Joints,Lameness,Fever,Loss of Appetite,10 days,No,No,Yes,Yes,Yes,No,No,No,No,39.7°C,75,Equine Arthritis,"NSAIDs, Joint supplements",As directed by veterinarian,Long-term management,Regular monitoring and adjusted exercise,Weight management diet with joint supplements,Controlled portions,Long-term management,Omega-3 fatty acids and glucosamine/chondroitin supplements,No vaccine available,N/A,N/A,N/A,Management through medication and exercise
Cow,Shorthorn,5,Male,600,Diarrhea,Dehydration,Lethargy,Loss of Appetite,5 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.4°C,84,Salmonellosis,"Antibiotics, Fluid therapy",As directed by veterinarian,5-7 days,Isolation and hygiene essential,"Electrolyte solution, high-quality forage","Small, frequent meals",2-3 weeks,Ensure adequate hydration,Salmonella Vaccine,"Pre-calving, with booster 2-3 weeks later",Non-core,Annual,Recommended for herds with history of salmonellosis
Dog,Shih Tzu,4,Female,7,Coughing,Labored Breathing,Appetite Loss,Lethargy,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.3°C,133,Canine Flu,Appropriate antibiotics and supportive medication for Canine Flu,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Easily digestible diet appropriate for condition,"Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years",Essential preventative care for all dogs
Cat,American Curl,5,Male,3.7,Vomiting,Diarrhea,Dehydration,Weight Loss,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,38.8°C,148,Pancreatitis,"Pain medication, Anti-nausea drugs",As directed by veterinarian,5-7 days,Fluid therapy often required,"Low-fat, easily digestible diet","Small, frequent meals",2-3 weeks,Gradually transition to regular diet,No vaccine available,N/A,N/A,N/A,Management through diet and medication
Horse,Percheron,12,Male,600,Swollen Joints,Lameness,Appetite Loss,Weight Loss,5 days,No,No,No,Yes,Yes,No,No,Yes,No,39.9°C,72,Equine Infectious Anemia,Supportive care only,As directed by veterinarian,Ongoing management,"No cure, management of symptoms only","High-quality hay, vitamin and mineral supplements","Small, frequent meals",2-3 weeks,Iron supplements may be beneficial,No vaccine available,N/A,N/A,N/A,Prevention through testing and quarantine
Cow,Brahman,3,Female,570,Fever,Nasal Discharge,Lethargy,Coughing,4 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.8°C,86,Respiratory Syncytial Virus,Appropriate medication for bovine Respiratory Syncytial Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial/Respiratory Vaccine Complex,"2-4 months, with booster",Core,Annual,Essential preventative care for cattle
Dog,Chihuahua,9,Male,2,Vomiting,Loss of Appetite,Diarrhea,Lethargy,2 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,128,Gastroenteritis,"Metronidazole, Fluids",15 mg/kg twice daily,3–5 days,Give probiotics too,"Bland diet (rice, boiled meat), probiotics",2–3 times daily,5–7 days,Hydration is critical,Not applicable,N/A,N/A,N/A,Preventive hygiene only
Cat,Manx,4,Female,3.3,Eye Discharge,Nasal Discharge,Sneezing,Coughing,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.5°C,138,Feline Herpesvirus,"L-lysine, Famciclovir",500 mg twice daily,7-14 days,Supportive care for symptoms,"Highly palatable, aromatic food","Small, frequent meals",2-3 weeks,L-lysine supplements may be beneficial,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including herpesvirus
Horse,Tennessee Walker,16,Female,530,Weight Loss,Loss of Appetite,Lethargy,Fever,8 days,No,No,Yes,Yes,No,Yes,Yes,No,No,39.6°C,71,Equine Cushing's Disease,Appropriate medication for equine Equine Cushing's Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Jersey,6,Male,620,Weight Loss,Reduced Milk Production,Lethargy,Appetite Loss,7 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.4°C,87,Tuberculosis,Appropriate medication for bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial/Respiratory Vaccine Complex,"2-4 months, with booster",Core,Annual,Essential preventative care for cattle
Dog,Dalmatian,8,Female,20,Vomiting,Diarrhea,Weight Loss,Dehydration,4 days,Yes,No,Yes,No,Yes,No,No,Yes,No,39.0°C,120,Pancreatitis,Appropriate antibiotics and supportive medication for Pancreatitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Easily digestible diet appropriate for condition,"Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years",Essential preventative care for all dogs
Cat,Bombay,6,Male,4,Lethargy,Vomiting,Loss of Appetite,Weight Loss,5 days,Yes,No,No,Yes,Yes,No,Yes,No,No,38.9°C,149,Hyperthyroidism,Appropriate antibiotics and supportive medication for Hyperthyroidism,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
